week,cases
2016-W01,549
2016-W02,628
2016-W03,635
2016-W04,629
2016-W05,528
2016-W06,420
2016-W07,592
2016-W08,508
2016-W09,412
2016-W10,396
2016-W11,373
2016-W12,306
2016-W13,376
2016-W14,290
2016-W15,225
2016-W16,231
2016-W17,244
2016-W18,181
2016-W19,217
2016-W20,212
2016-W21,198
2016-W22,219
2016-W23,159
2016-W24,192
2016-W25,215
2016-W26,234
2016-W27,246
2016-W28,223
2016-W29,266
2016-W30,221
2016-W31,211
2016-W32,197
2016-W33,221
2016-W34,274
2016-W35,310
2016-W36,242
2016-W37,174
2016-W38,173
2016-W39,138
2016-W40,125
2016-W41,94
2016-W42,108
2016-W43,84
2016-W44,85
2016-W45,84
2016-W46,72
2016-W47,74
2016-W48,86
2016-W49,59
2016-W50,81
2016-W51,72
2016-W52,64
